,I411,I411
,condition,equation
0,hkl,h+k+l=2n
1,hk0,h+k=2n
2,0kl,k+l=2n
3,hhl,l=2n
4,00l,l=2n
5,h00,h=2n
6,hkl,l=2n
7,hkl,"k,l=2n"
8,hkl,l=2n
9,hkl,l=2n
